Row Labels,Sum of count,,tag id,sum of count
2313,77,,12048,229
2323,24,,27470,229
2334,1,,32088,229
2335,13,,12543,227
2339,9,,27313,224
2345,202,,14764,221
2346,17,,29165,221
2348,57,,785,220
2352,3,,9147,220
2357,1,,19530,220
2359,31,,23166,220
2381,2,,15672,218
2390,1,,15980,218
2402,1,,31376,218
2421,1,,8116,216
2441,5,,25234,213
2450,37,,31155,212
2452,1,,22988,211
2455,3,,25765,211
2481,8,,29560,210
2484,10,,16693,209
2492,16,,27170,209
2499,385,,24728,208
2500,54,,7852,207
2513,2,,28848,204
2516,4060,,11130,203
2517,498,,26371,203
2518,1,,2345,202
2519,574,,31741,201
2521,78,,895,199
2522,13,,823,198
2538,1053,,33023,198
2541,585,,13270,197
2542,12,,21825,196
2544,1,,5051,195
2545,49,,27426,195
2550,20,,12522,194
2552,2,,19775,194
2554,10,,33777,194
2556,21,,2779,192
2573,41,,17041,191
2580,285,,32894,191
2593,53,,7664,190
2595,6,,18326,190
2597,1,,28541,190
2598,11,,9738,189
2608,65,,753,188
2610,1,,1782,188
2620,10,,13962,186
2622,29,,25630,186
2627,28,,784,185
2638,2,,17038,185
2640,120,,27499,182
2642,9,,29166,182
2648,9,,2056,181
2649,11,,20047,180
2660,395,,21817,180
2676,53,,22545,180
2687,29,,26154,180
2690,43,,26735,180
2692,1,,13528,178
2701,19,,17118,178
2705,3,,29190,178
2706,11,,747,177
2707,12,,805,177
2713,54,,10826,176
2725,3,,26278,176
2742,1,,26150,175
2757,2,,29475,175
2758,1,,31729,175
2759,2,,10641,174
2766,71,,11376,173
2768,134,,16447,173
2772,5,,1182,172
2773,4,,7145,171
2777,3,,19165,171
2779,192,,6960,170
2781,3,,14877,170
2808,56,,20926,170
2828,145,,833,169
2829,72,,23798,168
2835,6,,31417,168
2838,18,,2158,167
2843,3,,31724,167
2852,687,,7094,166
2858,5,,27315,166
2860,39,,5360,165
2861,8,,11369,165
2862,14,,17413,165
2875,99,,21041,165
2885,136,,33032,164
2887,66,,17751,162
2888,13,,752,161
2889,27,,20527,161
2904,3,,20570,161
2926,1,,30667,161
2938,689,,20547,160
2947,3,,22602,160
2950,6,,33133,160
2951,2,,11865,159
2955,6,,15646,159
2967,5,,16672,159
2970,3,,31719,159
2977,5,,11500,157
2980,9,,12709,156
2982,57,,16040,156
2990,2,,17129,156
2992,3,,17273,155
3000,3,,4546,154
3001,18,,16130,154
3006,3,,16867,154
3021,3,,23334,154
3027,40,,32917,154
3040,4,,27472,153
3076,8,,13568,152
3083,2,,1076,151
3105,3,,3611,151
3106,4,,6838,151
3120,6,,23339,151
3127,4,,28528,151
3131,12,,31614,151
3137,26,,5332,150
3148,2,,10471,149
3149,21,,12940,149
3150,14,,25895,149
3166,8,,3956,148
3169,19,,17304,148
3174,1,,22991,148
3179,5,,25908,148
3181,4,,28609,148
3202,1,,29299,148
3216,28,,7154,147
3230,2,,7282,147
3245,2,,23909,146
3259,38,,2828,145
3265,68,,24964,144
3266,2,,33165,144
3297,4,,31930,142
3299,24,,31557,141
3301,1,,11136,140
3304,1,,11152,140
3308,3,,18664,140
3318,16,,8938,139
3319,17,,33007,139
3326,15,,24833,138
3330,2,,26088,138
3343,3,,26091,137
3356,1,,26097,137
3358,1565,,736,136
3360,7,,2885,136
3364,2,,28613,136
3365,1,,19863,135
3371,2550,,2768,134
3377,766,,8951,134
3379,915,,30811,134
3381,4,,5751,133
3384,2,,17847,133
3389,4102,,25436,133
3391,2,,29205,133
3392,2773,,29083,131
3394,3,,30672,131
3396,2,,8344,130
3430,5,,25596,130
3431,2,,28300,130
3438,13,,29905,130
3461,13,,6383,129
3501,1,,1039,128
3504,12,,18645,128
3506,16,,711,127
3510,3,,5036,126
3515,2,,6022,126
3517,1,,6829,126
3518,18,,19553,126
3522,9,,29119,126
3529,10,,2106,125
3530,8,,4959,125
3536,11,,16877,125
3546,2,,22330,125
3548,37,,25011,125
3552,12,,30995,125
3553,2,,2015,124
3555,3,,25690,124
3559,8,,10891,123
3564,14,,22674,123
3566,3,,32339,123
3573,2,,5197,122
3575,1,,7857,122
3579,3,,18859,122
3583,1,,24991,122
3596,7,,17260,121
3604,3,,2640,120
3608,10,,6696,120
3611,151,,7746,120
3614,9,,5025,119
3615,6,,13141,119
3616,17,,20376,119
3623,9,,30852,119
3641,6,,4594,118
3644,1,,12313,118
3661,1,,12874,118
3663,15,,13438,117
3665,16,,18284,117
3668,10,,24908,117
3686,1,,4107,116
3687,87,,11340,116
3689,7,,16799,116
3696,1,,18663,116
3701,1,,22344,116
3710,1,,23349,116
3735,14,,23605,116
3737,4,,27432,116
3739,72,,33138,116
3742,16,,30163,115
3773,3,,16306,114
3779,1,,17523,114
3780,16,,18270,114
3781,1,,33036,114
3782,2,,671,113
3783,1073,,20347,113
3784,9,,17849,112
3786,1340,,20811,111
3788,1,,26099,111
3797,22,,28974,111
3798,3,,29045,111
3808,1,,9527,110
3815,1,,15758,110
3823,11,,17933,110
3829,12,,9264,109
3833,14,,11378,109
3879,21,,28141,109
3881,94,,32973,109
3883,5,,6333,108
3885,57,,6662,108
3911,2,,15392,108
3918,13,,11388,107
3956,148,,22994,107
3958,5,,8728,106
3960,6,,11864,105
4010,14,,21971,105
4035,1,,23171,105
4037,1,,29355,105
4038,1,,4317,104
4043,2,,6316,104
4044,6,,7171,104
4045,1,,11579,104
4046,1,,19389,104
4052,64,,21426,104
4053,8,,10828,103
4055,3742,,11464,103
4056,31,,15174,103
4057,15,,4615,102
4058,38,,7784,102
4065,20,,30909,102
4068,14,,509,101
4069,18,,5361,101
4070,7,,13720,101
4074,37,,27682,101
4076,99,,32609,101
4107,116,,17081,100
4110,4,,18800,100
4111,52,,21918,100
4112,257,,26429,100
4113,45,,28793,100
4114,12,,29457,100
4115,37,,2875,99
4120,38,,4076,99
4134,1,,15924,99
4146,1,,17080,99
4154,1,,832,98
4158,5,,17749,98
4159,1,,27368,98
4161,1,,9602,97
4163,2,,11949,97
4173,2,,14380,97
4177,2,,12700,96
4183,1,,16193,96
4184,1,,19083,96
4197,13,,27403,96
4199,7,,2173,95
4200,19,,11589,95
4206,6,,12758,95
4209,10,,14125,95
4211,4,,15629,95
4241,40,,855,94
4243,2,,2210,94
4307,15,,3881,94
4310,1,,12011,94
4312,10,,14791,94
4313,1,,19983,94
4316,6,,30860,93
4317,104,,14694,92
4319,2,,22618,92
4327,1,,24963,92
4333,9,,27412,92
4334,1,,28247,92
4335,3,,32726,92
4338,25,,829,91
4340,1,,1671,91
4341,1,,5918,91
4356,5,,20829,91
4361,25,,30304,91
4368,1,,15060,90
4375,2,,17343,90
4380,2,,32353,90
4381,1,,700,89
4385,26,,10245,89
4388,9,,13575,89
4412,39,,14187,89
4415,1,,17119,89
4427,38,,19815,89
4428,2,,21265,89
4433,9,,22696,89
4434,55,,32708,89
4435,1,,1753,88
4441,32,,16950,88
4443,27,,27951,88
4447,29,,28235,88
4450,11,,3687,87
4455,2,,4985,87
4457,2,,26918,87
4461,10,,30095,87
4462,2,,33006,87
4465,2,,6246,86
4473,1,,9263,86
4482,1,,16168,86
4499,1,,16941,86
4501,1,,18801,86
4503,255,,21487,86
4504,56,,26149,86
4505,34,,27705,86
4506,42,,9848,85
4507,50,,14134,85
4508,546,,30573,85
4509,46,,8954,84
4542,338,,25450,84
4544,1,,13656,83
4545,8,,31378,82
4546,154,,33130,82
4561,20,,17879,81
4564,2,,18015,81
4565,3,,19558,81
4568,27,,25709,81
4587,14,,28052,81
4592,2,,12773,80
4594,118,,26774,80
4596,10,,29127,80
4597,4,,30551,80
4600,19,,31509,80
4603,1,,32095,80
4605,461,,33049,80
4607,4,,6364,79
4610,1,,7824,79
4611,30,,17391,79
4612,2,,26799,79
4615,102,,33153,79
4616,1,,2101,78
4617,5,,2521,78
4618,1,,14856,78
4631,9,,20763,78
4634,12,,2313,77
4636,2,,893,76
4640,3,,1489,76
4661,20,,11148,76
4662,5,,20458,76
4665,16,,27019,76
4685,6,,28952,76
4692,4,,32812,76
4693,3,,5404,75
4695,24,,19141,75
4696,229,,20015,75
4697,21,,24254,75
4705,6,,29402,75
4718,3,,4856,74
4719,3,,21358,74
4720,2,,27016,74
4734,16,,27089,74
4750,1,,31230,74
4786,3,,32686,74
4805,24,,2135,73
4806,7,,6050,73
4826,2,,13884,73
4834,328,,15946,73
4835,7,,22401,73
4839,1,,27405,73
4856,74,,30766,73
4857,38,,32347,73
4860,1,,2829,72
4865,21,,3739,72
4866,7,,7654,72
4868,1,,11570,72
4872,2,,19666,72
4889,25,,29492,72
4895,4,,575,71
4899,13,,2766,71
4900,18,,4915,71
4913,1,,14092,71
4915,71,,15494,71
4916,7,,20888,71
4942,1041,,29969,71
4943,1,,31656,71
4944,1353,,888,70
4948,1,,9597,70
4949,1725,,10615,70
4958,5,,11780,70
4959,125,,22219,70
4960,2,,28726,70
4961,8,,32023,70
4964,3,,11367,69
4967,10,,19103,69
4968,39,,22456,69
4970,4,,25674,69
4971,5,,31749,69
4972,5,,3265,68
4975,3,,19160,68
4985,87,,21206,68
4991,28,,6184,67
4993,2,,10758,67
5003,15,,19507,67
5005,4,,23409,67
5006,4,,24141,67
5013,1,,28172,67
5014,1,,30147,67
5023,1,,2887,66
5025,119,,15965,66
5026,1,,26279,66
5031,1,,30342,66
5035,6,,2608,65
5036,126,,8950,65
5046,2,,11256,65
5047,2,,16370,65
5051,195,,16850,65
5053,6,,17762,65
5080,17,,19788,65
5086,1,,31016,65
5090,1610,,672,64
5100,5,,1826,64
5102,1,,4052,64
5105,11,,12663,64
5108,3,,16805,64
5117,1,,19357,64
5120,2,,27924,64
5121,1,,694,63
5126,1,,1144,63
5127,3,,9949,63
5131,1,,10819,63
5134,1,,11386,63
5140,3,,11706,63
5146,1,,12135,63
5158,2,,14128,63
5161,10,,14730,63
5162,1,,23266,63
5173,1,,25913,63
5177,1,,26172,63
5178,1,,28945,63
5180,703,,29405,63
5184,1,,6487,62
5185,8,,10074,62
5193,1,,13430,62
5197,122,,13564,62
5198,40,,17298,62
5203,3,,21369,62
5204,1,,21577,62
5205,1,,25990,62
5207,18736,,29559,62
5213,2,,31701,62
5217,1,,33113,62
5218,1,,1131,61
5222,1,,11290,61
5224,8,,11629,61
5228,1,,13446,61
5229,1,,16199,61
5230,8,,17028,61
5231,18,,28140,61
5233,2,,32215,61
5235,1,,686,60
5239,1,,923,60
5242,1,,5702,60
5255,1,,15362,60
5257,4,,15624,60
5263,51,,22992,60
5265,6,,26094,60
5269,5,,699,59
5272,3,,7156,59
5280,1,,12465,59
5295,10,,23343,59
5298,3,,26966,59
5308,1,,2271,58
5312,2,,6661,58
5315,1,,10866,58
5321,3,,13699,58
5323,1,,19786,58
5329,1,,21374,58
5332,150,,21437,58
5333,1,,2348,57
5335,8,,2982,57
5337,32,,3885,57
5339,3,,12783,57
5340,4,,17241,57
5355,5,,20710,57
5356,26,,30516,57
5357,22,,32450,57
5358,27,,615,56
5359,48,,2808,56
5360,165,,4504,56
5361,101,,6914,56
5362,42,,6920,56
5369,1,,11336,56
5370,1,,14484,56
5372,1,,17177,56
5382,2,,17303,56
5383,1,,18318,56
5385,22,,20520,56
5391,1,,20656,56
5393,281,,21280,56
5397,1,,23222,56
5398,5,,24265,56
5400,1,,27427,56
5404,75,,31932,56
5405,1,,941,55
5406,15,,1654,55
5407,1,,4434,55
5422,2,,8533,55
5427,20,,8957,55
5433,3,,11626,55
5443,1,,11948,55
5444,334,,12123,55
5448,2,,17319,55
5460,12,,20111,55
5473,41,,21682,55
5474,1,,25799,55
5481,589,,30437,55
5482,2,,31935,55
5485,13,,770,54
5487,1,,2500,54
5505,1,,2713,54
5506,17,,6475,54
5510,282,,11643,54
5514,1,,11708,54
5516,1,,14311,54
5542,1,,21953,54
5548,1,,24517,54
5549,3,,30755,54
5556,3,,2223,53
5557,27,,2593,53
5559,1,,2676,53
5560,1,,12332,53
5571,5,,13272,53
5574,2,,15081,53
5583,6,,20279,53
5588,1,,23038,53
5606,40,,27644,53
5608,8,,28640,53
5609,2,,32340,53
5617,9,,617,52
5624,7,,1825,52
5633,1,,4111,52
5634,1,,9043,52
5640,2,,9535,52
5660,2,,14403,52
5661,2,,17748,52
5676,45,,19738,52
5680,50,,22922,52
5694,11,,25223,52
5702,60,,28964,52
5738,29,,29018,52
5740,1,,29403,52
5745,17,,5263,51
5746,12,,10366,51
5747,5,,20287,51
5751,133,,21492,51
5756,12,,22529,51
5765,5,,30381,51
5775,1,,33470,51
5776,21,,2180,50
5778,1,,4507,50
5788,1,,5680,50
5793,1,,6370,50
5794,1,,8865,50
5801,2,,8925,50
5802,5,,11274,50
5818,9,,12759,50
5820,8,,16773,50
5830,9,,17259,50
5832,19,,20466,50
5834,28,,20476,50
5838,16,,21900,50
5842,2,,24864,50
5844,47,,27238,50
5901,4,,31735,50
5906,3,,2545,49
5910,1,,8740,49
5917,16,,11866,49
5918,91,,19039,49
5951,598,,21284,49
5954,5,,23147,49
5963,36,,24357,49
5965,2,,25104,49
5970,5,,25600,49
5979,18,,29609,49
5980,2,,30305,49
5986,4,,31425,49
5988,8,,31859,49
5990,13,,5359,48
5991,2,,14868,48
6005,2,,16929,48
6006,2,,20508,48
6016,4,,22271,48
6022,126,,29744,48
6025,1,,33054,48
6026,1,,5844,47
6027,1,,6847,47
6034,1,,8809,47
6037,2,,11709,47
6045,4,,17242,47
6046,13,,17415,47
6050,73,,18282,47
6059,39,,19125,47
6064,1,,20737,47
6065,1,,25856,47
6084,10,,28552,47
6085,5,,29738,47
6091,2,,609,46
6122,250,,4509,46
6131,44,,9336,46
6146,2,,9598,46
6163,7,,11028,46
6166,1,,12811,46
6167,1,,18203,46
6171,1,,19325,46
6174,13,,20711,46
6178,21,,27387,46
6184,67,,27561,46
6185,8,,28204,46
6186,14,,1444,45
6187,6,,4113,45
6189,12,,5676,45
6190,8,,7228,45
6195,10,,10273,45
6208,14,,14438,45
6216,14,,18646,45
6220,1,,20258,45
6221,5,,20529,45
6225,1,,25858,45
6230,4,,27770,45
6246,86,,28025,45
6252,7,,30756,45
6257,12,,6131,44
6259,6,,6866,44
6262,8,,7202,44
6280,38,,8527,44
6313,27,,9684,44
6315,22,,12452,44
6316,104,,12517,44
6320,10,,13955,44
6322,38,,28850,44
6333,108,,30373,44
6360,5,,724,43
6362,261,,2690,43
6363,2,,8429,43
6364,79,,12907,43
6365,39,,13565,43
6367,12,,13703,43
6368,23,,16899,43
6370,50,,17084,43
6371,27,,19508,43
6372,7,,20244,43
6383,129,,28638,43
6384,11,,29254,43
6403,2,,29282,43
6404,2,,30729,43
6425,7,,32495,43
6442,17,,659,42
6475,54,,1121,42
6477,1,,1645,42
6481,1,,2199,42
6486,6,,2305,42
6487,62,,4506,42
6495,5,,5362,42
6496,5,,11029,42
6501,1,,13227,42
6518,13,,13458,42
6524,15,,15642,42
6533,2,,16680,42
6547,3,,20064,42
6550,8,,20526,42
6571,18,,25686,42
6594,1,,27461,42
6596,1,,28445,42
6597,8,,28533,42
6604,3,,28597,42
6613,4,,30368,42
6614,35,,2573,41
6615,2,,5473,41
6661,58,,6881,41
6662,108,,9849,41
6663,549,,11243,41
6664,31,,11247,41
6667,2,,11773,41
6669,2,,12208,41
6671,1,,17117,41
6682,5,,17253,41
6687,9,,23223,41
6694,1,,28803,41
6696,120,,31595,41
6728,3,,32808,41
6729,307,,1143,40
6732,4,,3027,40
6745,15,,4241,40
6747,3,,5198,40
6748,8,,5606,40
6750,6250,,8204,40
6755,15,,10396,40
6756,3,,14397,40
6757,7,,14461,40
6759,13,,14852,40
6760,2,,16374,40
6766,470,,18655,40
6772,8,,19551,40
6782,6,,27919,40
6783,4,,29740,40
6784,7,,29762,40
6822,5,,30445,40
6828,430,,2860,39
6829,126,,4412,39
6833,2,,4968,39
6834,4,,6059,39
6837,3,,6365,39
6838,151,,10829,39
6840,32,,11208,39
6841,4,,16155,39
6842,14,,27158,39
6843,13,,3259,38
6847,47,,4058,38
6849,7,,4120,38
6857,516,,4427,38
6863,2,,4857,38
6866,44,,6280,38
6881,41,,6322,38
6882,5,,16335,38
6887,3,,17997,38
6888,433,,19102,38
6895,394,,22451,38
6900,4,,22816,38
6905,4,,24493,38
6907,5,,26126,38
6909,28,,26563,38
6914,56,,27656,38
6920,56,,392,37
6924,1,,688,37
6925,2,,2450,37
6927,1,,3548,37
6931,7,,4074,37
6945,3,,4115,37
6948,31,,8046,37
6949,8,,16924,37
6950,1,,17721,37
6952,6,,17763,37
6953,740,,20528,37
6959,3,,21947,37
6960,170,,25556,37
6962,3,,26209,37
6969,3,,26669,37
6971,9,,28356,37
6972,3,,597,36
6973,14,,667,36
6976,31,,5963,36
6977,10,,9199,36
6982,3,,11763,36
6984,10,,11834,36
6992,4,,13396,36
6995,3,,14752,36
7066,7,,15763,36
7072,6,,16205,36
7073,3,,16369,36
7074,4,,18458,36
7075,2,,21672,36
7077,2480,,21739,36
7080,17,,26476,36
7085,2,,27723,36
7089,2,,28466,36
7090,8,,809,35
7093,3,,6614,35
7094,166,,17030,35
7102,9,,17983,35
7103,4,,26092,35
7111,8,,30169,35
7112,19,,4505,34
7116,2300,,15320,34
7126,4,,15892,34
7129,8,,16427,34
7130,6,,16908,34
7134,5,,19554,34
7135,9,,20288,34
7141,22,,22465,34
7143,32,,22643,34
7144,13,,24050,34
7145,171,,25106,34
7154,147,,25933,34
7156,59,,26459,34
7157,3,,29149,34
7158,24,,30571,34
7165,9,,30800,34
7166,2,,34148,34
7167,3,,723,33
7171,104,,9855,33
7177,2,,20117,33
7179,4,,21392,33
7180,2,,26117,33
7181,2,,26838,33
7184,2,,28165,33
7186,6,,28420,33
7191,18,,4441,32
7195,3,,5337,32
7198,2,,6840,32
7202,44,,7143,32
7203,536,,8730,32
7204,3,,12255,32
7205,3,,13003,32
7206,4,,15513,32
7207,3,,18796,32
7210,3,,20053,32
7213,1,,20957,32
7214,2,,22726,32
7219,414,,23323,32
7224,406,,24310,32
7228,45,,24441,32
7236,5,,24464,32
7237,8,,28904,32
7241,4,,29152,32
7242,11,,31382,32
7243,14,,31936,32
7245,4,,32125,32
7248,3,,32338,32
7256,8,,2312,31
7279,391,,2359,31
7282,147,,4056,31
7284,2,,6664,31
7285,16,,6948,31
7289,2,,6976,31
7296,6,,7361,31
7298,2,,8421,31
7300,22,,11372,31
7301,1,,11867,31
7307,4,,13242,31
7308,15,,13254,31
7315,6,,16383,31
7318,1,,17458,31
7327,2,,18525,31
7334,20,,23743,31
7336,16,,24366,31
7361,31,,25144,31
7386,2,,25934,31
7390,2,,26025,31
7400,1,,26041,31
7404,238,,26177,31
7409,1,,26697,31
7415,14,,28791,31
7417,4,,28953,31
7420,1,,32336,31
7422,6,,4611,30
7423,11,,9611,30
7433,15,,10342,30
7438,1,,10405,30
7457,1143,,11212,30
7470,1,,11784,30
7472,4,,13366,30
7478,16,,15427,30
7482,2,,17243,30
7484,10,,17344,30
7490,4,,19064,30
7494,25,,20803,30
7498,1,,25364,30
7510,28,,26951,30
7511,558,,28751,30
7513,9,,31418,30
7518,6,,31742,30
7519,9,,32262,30
7538,6,,1291,29
7539,10,,1746,29
7540,11,,1938,29
7541,257,,2622,29
