book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,NonEnglish
1062,22918050,22918050,42484814,63,,,Kiera Cass,2015.0,The Heir,"The Heir (The Selection, #4)",eng,3.85,111044,126852,14043,2882,8973,32084,43021,39892,https://images.gr-assets.com/books/1422993526m/22918050.jpg,https://images.gr-assets.com/books/1422993526s/22918050.jpg,0
1104,25644601,25644601,45460946,84,1101946342,9781101946340.0,E.L. James,2015.0,Grey,"Grey (Fifty Shades, #4)",en-GB,3.76,75320,104752,10218,6444,10145,23125,27235,37803,https://images.gr-assets.com/books/1433182986m/25644601.jpg,https://images.gr-assets.com/books/1433182986s/25644601.jpg,0
1111,31101,31101,1581343,41,767905202,9780767905210.0,Jane Green,1999.0,Mr Maybe,Mr. Maybe,eng,3.41,78132,79157,877,7879,8357,23883,21770,17268,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1134,13639050,13639050,19252471,38,1936305550,9781936305550.0,Sylvain Reynard,2012.0,Gabriel's Rapture,"Gabriel's Rapture (Gabriel's Inferno, #2)",eng,4.22,91213,96953,3449,1868,4020,13830,28161,49074,https://images.gr-assets.com/books/1343962380m/13639050.jpg,https://images.gr-assets.com/books/1343962380s/13639050.jpg,0
1292,5413,5413,40802405,22,385516487,9780385516490.0,"Stephen King, Jerry N. Uelsmann",2005.0,'Salem's Lot The Illustrated Edition,'Salem's Lot,eng,4.25,72797,74725,482,460,1854,12040,24920,35451,https://images.gr-assets.com/books/1320478491m/5413.jpg,https://images.gr-assets.com/books/1320478491s/5413.jpg,0
1338,323355,323355,2139868,343,967686563,9780967686560.0,"Anonymous, Joseph Smith Jr.",1830.0,The Book of Mormon,The Book of Mormon: Another Testament of Jesus Christ,eng,4.37,63530,66160,5349,6989,2468,2246,1749,52708,https://images.gr-assets.com/books/1327389004m/323355.jpg,https://images.gr-assets.com/books/1327389004s/323355.jpg,0
1382,43808,43808,43209,4,345373944,9780345373950.0,"Faye Perozich, Anne Rice, John Bolton, Daerick Gröss",1989.0,Anne Rice's The Vampire Lestat: The Graphic Novel,Anne Rice's The Vampire Lestat: A Graphic Novel,en-GB,4.17,61842,61903,101,661,1946,11282,20032,27982,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1419,6344097,6344097,6972161,18,785136207,9780785136200.0,"Roberto Aguirre-Sacasa, Stephen King, Mike Perkins, Laura       Martin",2009.0,,The Stand: Captain Trips,eng,4.43,57279,57974,276,747,1162,5837,14861,35367,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1559,12716010,12716010,14103064,59,,,Lauren Kate,2012.0,Rapture,"Rapture (Fallen, #4)",eng,4.03,79360,84367,5182,2222,5420,16312,24191,36222,https://images.gr-assets.com/books/1362339818m/12716010.jpg,https://images.gr-assets.com/books/1362339818s/12716010.jpg,0
1619,8726744,8726744,14194990,11,031613290X,9780316132910.0,Stephenie Meyer,2005.0,,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)",eng,4.31,56827,57789,335,2262,2306,6572,10599,36050,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1673,18149927,18149927,21996351,38,,,Jodi Ellen Malpas,2013.0,Beneath This Man,"Beneath This Man (This Man, #2)",eng,4.3,44170,74457,3703,1532,2681,8933,19848,41463,https://images.gr-assets.com/books/1372773964m/18149927.jpg,https://images.gr-assets.com/books/1372773964s/18149927.jpg,0
1698,342445,342445,2402933,20,785121447,9780785121440.0,"Peter David, Robin Furth, Jae Lee, Richard Isanove, Stephen King",2007.0,The Dark Tower: The Gunslinger Born,The Dark Tower: The Gunslinger Born,eng,4.18,60746,61405,832,1318,2554,9780,18142,29611,https://images.gr-assets.com/books/1489721554m/342445.jpg,https://images.gr-assets.com/books/1489721554s/342445.jpg,0
1723,11710373,11710373,16657990,39,385344430,9780385344430.0,Diana Gabaldon,2014.0,Written in My Own Heart's Blood,"Written in My Own Heart's Blood (Outlander, #8)",eng,4.5,46663,62767,5617,336,924,5205,17069,39233,https://images.gr-assets.com/books/1365173799m/11710373.jpg,https://images.gr-assets.com/books/1365173799s/11710373.jpg,0
1754,6485421,6485421,6676773,14,1416997857,9781416997860.0,Cassandra Clare,2009.0,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,"The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments, #1-3)",eng,4.57,55518,57313,981,633,1054,4101,10768,40757,https://images.gr-assets.com/books/1312016549m/6485421.jpg,https://images.gr-assets.com/books/1312016549s/6485421.jpg,0
1780,8705784,8705784,13578604,29,312624670,9780312624680.0,C.C. Hunter,2011.0,Born at Midnight,"Born at Midnight (Shadow Falls, #1)",en-US,4.13,68084,70503,3837,1852,3295,11507,20824,33025,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
1813,15505346,15505346,18151286,53,1405910216,9781405910220.0,Tracey Garvis-Graves,2011.0,On the Island,"On the Island (On the Island, #1)",eng,4.13,28651,64682,7927,996,2731,10618,22670,27667,https://images.gr-assets.com/books/1339162550m/15505346.jpg,https://images.gr-assets.com/books/1339162550s/15505346.jpg,0
1829,226162,226162,219058,34,451219422,9780451219430.0,David Seltzer,1976.0,The Omen,The Omen,en-US,3.99,49935,50574,286,885,2555,11734,16549,18851,https://images.gr-assets.com/books/1421963974m/226162.jpg,https://images.gr-assets.com/books/1421963974s/226162.jpg,0
1958,7933617,7933617,11290776,61,1905654871,9781905654870.0,"P.C. Cast, Kristin Cast",2011.0,Destined,"Destined (House of Night, #9)",eng,4.04,56737,63949,2535,1595,3865,12696,18186,27607,https://images.gr-assets.com/books/1406962311m/7933617.jpg,https://images.gr-assets.com/books/1406962311s/7933617.jpg,0
2021,690926,690926,3187048,5,316003727,9780316003730.0,Stephenie Meyer,2007.0,"The Twilight Collection (Twilight, #1-3)","The Twilight Collection (Twilight, #1-3)",eng,3.78,42361,42383,1127,4560,3613,6924,8607,18679,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2101,99298,99298,5994366,17,439249546,9780439249550.0,"J.K. Rowling, Mary GrandPré",1999.0,Harry Potter Boxed Set Books 1-4,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",eng,4.66,43929,44842,265,307,424,2346,8186,33579,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2106,17255265,17255265,23847880,34,,,Jodi Ellen Malpas,2013.0,This Man Confessed,"This Man Confessed (This Man, #3)",eng,4.43,62297,64568,3750,983,1743,6265,15288,40289,https://images.gr-assets.com/books/1368274129m/17255265.jpg,https://images.gr-assets.com/books/1368274129s/17255265.jpg,0
2149,9814682,9814682,21619517,15,345529057,9780345529050.0,George R.R. Martin,2011.0,,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",en-US,4.63,28654,39174,963,219,431,1953,8453,28118,https://images.gr-assets.com/books/1328046798m/9814682.jpg,https://images.gr-assets.com/books/1328046798s/9814682.jpg,0
2208,16001893,16001893,21763760,39,,9781301716720.0,M. Leighton,2013.0,Down to You,"Down to You (The Bad Boys, #1)",eng,4.05,59221,62467,3286,1078,2904,11881,22630,23974,https://images.gr-assets.com/books/1347544660m/16001893.jpg,https://images.gr-assets.com/books/1347544660s/16001893.jpg,0
2283,7778981,7778981,10695325,54,312656262,9780312656260.0,Alexandra Adornetto,2010.0,Halo,"Halo (Halo, #1)",en-US,3.67,56216,58840,4209,4554,6224,13124,15096,19842,https://images.gr-assets.com/books/1278885735m/7778981.jpg,https://images.gr-assets.com/books/1278885735s/7778981.jpg,0
2364,12900174,12900174,17572318,42,,,Abbi Glines,2011.0,"The Vincent Brothers (The Vincent Boys, #1)","The Vincent Boys (The Vincent Boys, #1)",eng,3.98,62029,66263,3653,1720,3787,13230,22607,24919,https://images.gr-assets.com/books/1327184585m/12900174.jpg,https://images.gr-assets.com/books/1327184585s/12900174.jpg,0
2376,99085,99085,810431,22,142501107,9780142501110.0,Brian Jacques,2000.0,Lord Brocktree,"Lord Brocktree (Redwall, #13)",en-US,3.95,42764,43355,206,1055,2177,10081,14817,15225,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2395,24378015,24378015,42942273,15,,,"Colleen Hoover, Tarryn Fisher",2015.0,Never Never,"Never Never (Never Never, #1)",en-US,4.12,54590,55980,8438,905,2298,9272,20013,23492,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2397,76237,76237,187956,2,140079076,9780140079070.0,"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",1985.0,The Further Adventures of Sherlock Holmes (Classic Crime),The Further Adventures of Sherlock Holmes: After Sir Arthur Conan Doyle (Classic Crime),,4.4,36863,36872,36,286,457,4096,11411,20622,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2443,17158596,17158596,23582083,36,,,Gail McHugh,2013.0,Collide,"Collide (Collide, #1)",eng,4.24,55720,58679,4562,1204,2220,7627,18053,29575,https://images.gr-assets.com/books/1359831056m/17158596.jpg,https://images.gr-assets.com/books/1359831056s/17158596.jpg,0
2444,3860977,3860977,3906123,37,618620117,9780618620110.0,Jonah Lehrer,2009.0,How We Decide,How We Decide,en-US,3.81,32507,33753,1401,1134,2113,8554,12116,9836,https://images.gr-assets.com/books/1382946716m/3860977.jpg,https://images.gr-assets.com/books/1382946716s/3860977.jpg,0
2483,16033902,16033902,21805183,49,425267040,9780425267040.0,Maya Banks,2013.0,Rush,"Rush (Breathless, #1)",eng,3.97,53937,58570,3667,1661,3491,11831,19796,21791,https://images.gr-assets.com/books/1359943771m/16033902.jpg,https://images.gr-assets.com/books/1359943771s/16033902.jpg,0
2507,83144,83144,12615171,95,6513220,9780006513220.0,Paullina Simons,2001.0,The Bronze Horseman,"The Bronze Horseman (The Bronze Horseman, #1)",eng,4.34,37369,48539,6085,1198,2005,4963,11371,29002,https://images.gr-assets.com/books/1327921996m/83144.jpg,https://images.gr-assets.com/books/1327921996s/83144.jpg,0
2579,178357,178357,459137,8,349119759,9780349119760.0,David Sedaris,1998.0,SantaLand Diaries,SantaLand Diaries,en-US,4.33,38297,38509,393,284,797,4876,12574,19978,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2606,9268487,9268487,14150105,33,345503821,9780345503820.0,Peter V. Brett,2013.0,The Daylight War,"The Daylight War (Demon Cycle, #3)",eng,4.23,34419,39164,1816,371,1163,5360,14433,17837,https://images.gr-assets.com/books/1360777092m/9268487.jpg,https://images.gr-assets.com/books/1360777092s/9268487.jpg,0
2645,43884,43884,6745547,46,765305240,9780765305240.0,Terry Goodkind,2006.0,"Phantom (Sword of Truth, #10)","Phantom (Sword of Truth, #10)",,3.99,35131,37945,481,981,2280,7627,12488,14569,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2655,6393082,6393082,6581562,5,785135804,9780785135810.0,"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",2009.0,,"Ender's Game, Volume 1: Battle School (Ender's Saga)",en-US,4.37,32247,32329,192,521,772,3535,8965,18536,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
2659,12513614,12513614,17499464,21,,2940011444940.0,C.J. Roberts,2011.0,Captive in the Dark,"Captive in the Dark (The Dark Duet, #1)",eng,4.01,55542,59443,5525,2712,3461,9720,18383,25167,https://images.gr-assets.com/books/1315343569m/12513614.jpg,https://images.gr-assets.com/books/1315343569s/12513614.jpg,0
2697,6448470,6448470,10823062,51,61935085,9780061935080.0,Sophie Jordan,2010.0,"Firelight (Firelight, #1)","Firelight (Firelight, #1)",en-US,3.88,51815,54550,4384,1628,4187,12409,17053,19273,https://images.gr-assets.com/books/1269737893m/6448470.jpg,https://images.gr-assets.com/books/1269737893s/6448470.jpg,0
2701,26582,26582,1049526,51,452281423,9780452281420.0,"A.N. Roquelaure, Anne Rice",1983.0,The Claiming of Sleeping Beauty,"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",en-US,3.28,38387,42828,3713,5675,6382,11096,9727,9948,https://images.gr-assets.com/books/1340735794m/26582.jpg,https://images.gr-assets.com/books/1340735794s/26582.jpg,0
2753,120230,120230,115766,4,1400054346,9781400054340.0,"Ina Garten, Quentin Bacon",2006.0,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,,4.16,32611,32744,178,944,1094,4974,10514,15218,https://images.gr-assets.com/books/1320557161m/120230.jpg,https://images.gr-assets.com/books/1320557161s/120230.jpg,0
2778,1672727,1672727,1667738,17,1416913184,9781416913180.0,Lauren Barnholdt,2007.0,Two-Way Street,Two-Way Street,,3.8,42028,42774,1848,1186,3709,11189,13153,13537,https://images.gr-assets.com/books/1381750633m/1672727.jpg,https://images.gr-assets.com/books/1381750633s/1672727.jpg,0
2801,13628209,13628209,19234450,17,1469984016,9781469984020.0,Kirsty Moseley,2011.0,The Boy Who Sneaks in My Bedroom Window,The Boy Who Sneaks in My Bedroom Window,en-GB,3.95,50929,55355,4371,3493,3945,8704,14811,24402,https://images.gr-assets.com/books/1398682775m/13628209.jpg,https://images.gr-assets.com/books/1398682775s/13628209.jpg,0
2868,13223520,13223520,17258588,14,,,Abbi Glines,2004.0,,"Existence (Existence Trilogy, #1)",eng,3.95,51368,52621,3285,1812,3581,10445,16505,20278,https://images.gr-assets.com/books/1327184429m/13223520.jpg,https://images.gr-assets.com/books/1327184429s/13223520.jpg,0
2956,10661081,10661081,15570344,7,159514451X,9781595144520.0,"Michelle Rowen, Richelle Mead",2011.0,,Vampire Academy: The Ultimate Guide (Vampire Academy),eng,4.45,32818,32921,206,734,978,3288,5688,22233,https://images.gr-assets.com/books/1327901152m/10661081.jpg,https://images.gr-assets.com/books/1327901152s/10661081.jpg,0
3009,81922,81922,42235,84,446677477,9780446677480.0,"Robert T. Kiyosaki, Sharon L. Lechter",1998.0,Cashflow Quadrant: Rich Dad's Guide to Financial Freedom,Rich Dad's Cashflow Quadrant: Rich Dad's Guide to Financial Freedom,vie,4.05,24907,27477,718,560,1360,5288,9087,11182,https://images.gr-assets.com/books/1483023081m/81922.jpg,https://images.gr-assets.com/books/1483023081s/81922.jpg,0
3030,8718952,8718952,21984483,1,1595144331,9781595144330.0,Richelle Mead,2010.0,,"Vampire Academy Box Set (Vampire Academy, #1-4)",en-US,4.57,33015,33016,110,572,646,2343,5285,24170,https://images.gr-assets.com/books/1281267849m/8718952.jpg,https://images.gr-assets.com/books/1281267849s/8718952.jpg,0
3075,7619292,7619292,10090991,43,759529434,9780759529430.0,"Young Kim, Stephenie Meyer",2010.0,Twilight: The Graphic Novel,"Twilight: The Graphic Novel, Vol. 1 (Twilight: The Graphic Novel, #1)",en-US,3.74,37292,38329,1915,3745,3298,7559,8272,15455,https://images.gr-assets.com/books/1317294278m/7619292.jpg,https://images.gr-assets.com/books/1317294278s/7619292.jpg,0
3095,6339989,6339989,10954714,8,1595142711,9781595142720.0,Richelle Mead,2009.0,Vampire Academy Collection,"Vampire Academy Collection (Vampire Academy, #1-3)",,4.61,30166,30509,182,285,426,2082,5168,22548,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3107,16062211,16062211,21850432,19,1480114480,9781480114490.0,Katie Ashley,2012.0,The Proposition,"The Proposition (The Proposition, #1)",eng,4.05,43605,46676,2368,834,2062,8802,17168,17810,https://images.gr-assets.com/books/1355433171m/16062211.jpg,https://images.gr-assets.com/books/1355433171s/16062211.jpg,0
3110,969275,969275,954172,36,575077352,9780575077360.0,Akira Toriyama,1985.0,孫悟空と仲間たち,"Dragon Ball, Vol. 1: The Monkey King (Dragon Ball, #1)",eng,4.42,27382,28050,300,433,782,3109,5875,17851,https://images.gr-assets.com/books/1442541694m/969275.jpg,https://images.gr-assets.com/books/1442541694s/969275.jpg,0
3145,17448960,17448960,24333050,27,,2940016356940.0,Jasinda Wilder,2013.0,Falling Into You,"Falling into You (Falling, #1)",eng,4.04,43246,48373,4232,1103,2498,8616,17101,19055,https://images.gr-assets.com/books/1363055080m/17448960.jpg,https://images.gr-assets.com/books/1363055080s/17448960.jpg,0
3148,42172,42172,1085294,23,312289510,9780312289520.0,Donna VanLiere,2001.0,The Christmas Shoes,The Christmas Shoes (Christmas Hope #1),en-US,4.22,29216,29417,801,552,981,4677,8355,14852,https://images.gr-assets.com/books/1434144615m/42172.jpg,https://images.gr-assets.com/books/1434144615s/42172.jpg,0
3220,3165162,3165162,3197005,5,1423113497,9781423113490.0,Rick Riordan,2008.0,Percy Jackson and the Olympians Boxed Set,"Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)",eng,4.58,32496,33031,509,286,418,2411,6699,23217,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3265,28866,28866,2609827,42,843955287,9780843955290.0,Christine Feehan,1999.0,Dark Prince,"Dark Prince (Dark, #1)",eng,4.01,38879,42434,2077,1831,2802,7349,11509,18943,https://images.gr-assets.com/books/1405352801m/28866.jpg,https://images.gr-assets.com/books/1405352801s/28866.jpg,0
3275,8,8,21457576,11,439682584,9780439682590.0,"J.K. Rowling, Mary GrandPré",2003.0,,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",eng,4.77,33220,33424,156,317,233,978,3686,28210,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3289,263147,263147,255085,26,60093366,9780060093360.0,Ellen Schreiber,2003.0,Vampire Kisses,"Vampire Kisses (Vampire Kisses, #1)",en-US,3.69,43323,44598,2082,2613,5117,11246,10281,15341,https://images.gr-assets.com/books/1345950574m/263147.jpg,https://images.gr-assets.com/books/1345950574s/263147.jpg,0
3300,13154952,13154952,18245549,44,385536073,9780385536070.0,John Grisham,2012.0,Calico Joe,Calico Joe,,3.8,27244,31685,3872,620,1971,8531,12698,7865,https://images.gr-assets.com/books/1329430545m/13154952.jpg,https://images.gr-assets.com/books/1329430545s/13154952.jpg,0
3426,15739018,15739018,21424080,19,,,Molly McAdams,2012.0,,"Taking Chances (Taking Chances, #1)",eng,3.87,40827,42498,5320,3391,3415,6696,10865,18131,https://images.gr-assets.com/books/1344296221m/15739018.jpg,https://images.gr-assets.com/books/1344296221s/15739018.jpg,0
3465,315519,315519,503099,51,440174244,9780440174240.0,Irwin Shaw,1969.0,"Rich Man, Poor Man","Rich Man, Poor Man",,4.15,28024,28770,234,183,765,5530,10300,11992,https://images.gr-assets.com/books/1353725186m/315519.jpg,https://images.gr-assets.com/books/1353725186s/315519.jpg,0
3531,65497,65497,63547,31,553805592,9780553805600.0,Janette Oke,1979.0,"Love Comes Softly (Love Comes Softly, #1)","Love Comes Softly (Love Comes Softly, #1)",eng,4.22,28690,30663,1023,384,1126,4953,9000,15200,https://images.gr-assets.com/books/1273177650m/65497.jpg,https://images.gr-assets.com/books/1273177650s/65497.jpg,0
3591,214332,214332,14654173,47,310234697,9780310234690.0,Lee Strobel,2000.0,,The Case for Faith: A Journalist Investigates the Toughest Objections to Christianity,en-US,4.17,24007,24951,461,556,863,3896,8044,11592,https://images.gr-assets.com/books/1296487661m/214332.jpg,https://images.gr-assets.com/books/1296487661s/214332.jpg,0
3701,22557520,22557520,26102134,72,1476792488,9781476792480.0,Anna Todd,2014.0,After,"After (After, #1)",eng,3.74,32027,38360,4589,3671,3432,6845,9557,14855,https://images.gr-assets.com/books/1438077259m/22557520.jpg,https://images.gr-assets.com/books/1438077259s/22557520.jpg,0
3716,4673605,4673605,4724052,6,345506405,9780345506400.0,"Dean Koontz, Kevin J. Anderson, Chuck Dixon, Brett Booth",2008.0,Dean Koontz's Frankenstein: Prodigal Son Volume 1 (Frankenstein),"Dean Koontz's Frankenstein, Volume 1: Prodigal Son",eng,4.09,25349,25399,141,588,1255,4603,7798,11155,https://images.gr-assets.com/books/1320410883m/4673605.jpg,https://images.gr-assets.com/books/1320410883s/4673605.jpg,0
3735,11580,11580,14011,14,452253802,9780452253800.0,"Stephen King, Bernie Wrightson, Michele Wrightson",1982.0,Creepshow,Creepshow,en-US,4.06,27690,28429,134,750,1503,5768,7734,12674,https://images.gr-assets.com/books/1332002598m/11580.jpg,https://images.gr-assets.com/books/1332002598s/11580.jpg,0
3753,10,10,21457570,6,439827604,9780439827610.0,J.K. Rowling,2005.0,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,24618,26274,882,203,186,946,3891,21048,https://images.gr-assets.com/books/1328867351m/10.jpg,https://images.gr-assets.com/books/1328867351s/10.jpg,0
3759,4902793,4902793,4968304,1,441017770,9780441017780.0,Charlaine Harris,2008.0,"Sookie Stackhouse, Books 1-7","Sookie Stackhouse 7-copy Boxed Set (Sookie Stackhouse, #1-7)",,4.43,25359,25359,359,389,591,2613,5934,15832,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
3775,5061675,5061675,21619503,10,,,George R.R. Martin,1996.0,A Clash of Kings,"A Game of Thrones / A Clash of Kings (A Song of Ice and Fire, #1-2)",,4.53,22259,22573,570,99,219,1585,6409,14261,https://images.gr-assets.com/books/1336020650m/5061675.jpg,https://images.gr-assets.com/books/1336020650s/5061675.jpg,0
3873,26236956,26236956,46227741,46,399175164,9780399175170.0,Nora Roberts,2016.0,The Obsession,The Obsession,eng,4.18,25318,37511,3257,909,1343,5262,12585,17412,https://images.gr-assets.com/books/1444838367m/26236956.jpg,https://images.gr-assets.com/books/1444838367s/26236956.jpg,0
3890,838917,18054709,16419428,27,736908552,9780736908560.0,Stormie Omartian,1997.0,The Power of a Praying Woman,The Power of a Praying Woman,,4.38,10970,20872,183,208,483,2643,5376,12162,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,0
